LEM,POL
abateria,neutral
abateriam,neutral
abateríamos,neutral
abaterias,neutral
abateríeis,neutral
abatermo,neutral
abatermos,neutral
abates,neutral
abatesse,neutral
abatêsseis,neutral
abatessem,neutral
abatêssemos,neutral
abatesses,neutral
abateste,neutral
abatestes,neutral
abateu,neutral
abati,neutral
abatia,neutral
abatiam,neutral
abatíamo,neutral
abatíamos,neutral
abatias,neutral
abatida,negative
abatidas,negative
abatido,negative
abatidos,negative
abatíei,neutral
abatíeis,neutral
abato,neutral
abelhuda,negative
abelhudas,negative
abelhudo,negative
abelhudos,negative
abençoada,positive
abençoadas,positive
abençoado,positive
abençoados,positive
aberração,negative
aberrante,negative
aberrantes,negative
aberrativa,negative
aberrativas,negative
aberrativo,negative
aberrativos,negative
aberta,positive
abertas,positive
aberto,positive
abertos,positive
abespinhada,negative
abespinhadas,negative
abespinhado,negative
abespinhados,negative
abestalhada,negative
abestalhadas,negative
abestalhado,negative
abestalhados,negative
abilolada,negative
abiloladas,negative
abilolado,negative
abilolados,negative
abjeção,negative
abjecção,negative
abjecta,negative
abjectas,negative
abjecto,negative
abjectos,negative
abjeta,negative
abjetas,negative
abjeto,negative
abjetos,negative
abnegada,positive
abnegadas,positive
abnegado,positive
abnegados,positive
abobada,negative
abobadas,negative
abobado,negative
abobados,negative
abobalhada,negative
abobalhadas,negative
abobalhado,negative
abobalhados,negative
abolicionista,neutral
abolicionistas,neutral
abolida,negative
abolidas,negative
abolido,negative
abolidos,negative
abomina,negative
abominá,negative
abominado,negative
abominador,negative
abominadora,negative
abominadoras,negative
abominadores,negative
abominai,negative
abominais,negative
abominam,negative
abominámo,negative
abominamo,negative
abominámos,negative
abominamos,negative
abominanda,negative
abominandas,negative
abominando,negative
abominandos,negative
abominar,negative
abominará,negative
abominara,negative
abominaram,negative
abomináramo,negative
abomináramos,negative
abominarão,negative
abominarás,negative
abominaras,negative
abominarde,negative
abominardes,negative
abominare,negative
abominarei,negative
abominárei,negative
abominareis,negative
abomináreis,negative
abominarem,negative
abominaremos,negative
abominares,negative
abominaria,negative
abominariam,negative
abominaríamos,negative
abominarias,negative
abominaríeis,negative
abominarmo,negative
abominarmos,negative
abominas,negative
abominasse,negative
abominásseis,negative
abominassem,negative
abominássemos,negative
abominasses,negative
abominaste,negative
abominastes,negative
abominava,negative
abominavam,negative
abominávamo,negative
abominávamos,negative
abominavas,negative
abominávei,negative
abomináveis,negative
abominável,negative
abomine,negative
abominei,negative
abomineis,negative
abominem,negative
abominemo,negative
abominemos,negative
abomines,negative
abomino,negative
abominou,negative
abonada,positive
abonadas,positive
abonado,positive
abonados,positive
abonatória,positive
abonatórias,positive
abonatório,positive
abonatórios,positive
abonecada,neutral
abonecadas,neutral
abonecado,neutral
abonecados,neutral
aborreça,negative
aborreçais,negative
aborreçam,negative
aborreçamo,negative
aborreçamos,negative
aborreças,negative
aborrecê,negative
aborrece,negative
aborrecei,negative
aborreceis,negative
aborrecem,negative
aborrecemo,negative
aborrecemos,negative
aborrecendo,negative
aborrecer,negative
aborrecerá,negative
aborrecera,negative
aborreceram,negative
aborrecêramo,negative
aborrecêramos,negative
aborrecerão,negative
aborrecerás,negative
aborreceras,negative
aborrecerde,negative
aborrecerdes,negative
aborrecere,negative
aborrecerei,negative
aborrecêrei,negative
aborrecereis,negative
aborrecêreis,negative
aborrecerem,negative
aborreceremos,negative
aborreceres,negative
aborreceria,negative
aborreceriam,negative
aborreceríamos,negative
aborrecerias,negative
aborreceríeis,negative
aborrecermo,negative
aborrecermos,negative
aborreces,negative
aborrecesse,negative
aborrecêsseis,negative
aborrecessem,negative
aborrecêssemos,negative
aborrecesses,negative
aborreceste,negative
aborrecestes,negative
aborreceu,negative
aborreci,negative
aborrecia,negative
aborreciam,negative
aborrecíamo,negative
aborrecíamos,negative
aborrecias,negative
aborrecida,negative
aborrecidas,negative
aborrecido,negative
aborrecidos,negative
aborrecíei,negative
aborrecíeis,negative
aborreço,negative
abortada,negative
abortadas,negative
abortado,negative
abortados,negative
abraçada,positive
abraçadas,positive
abraçado,positive
abraçados,positive
abrasileirada,neutral
abrasileiradas,neutral
abrasileirado,neutral
abrasileirados,neutral
abrigada,neutral
abrigadas,neutral
abrigado,neutral
abrigados,neutral
abrilhantada,positive
abrilhantadas,positive
abrilhantado,positive
abrilhantados,positive
abrupta,negative
abruptas,negative
abrupto,negative
abruptos,negative
abrutalhada,negative
abrutalhadas,negative
abrutalhado,negative
abrutalhados,negative
absentista,negative
absentistas,negative
absoluta,neutral
absolutas,neutral
absolutista,neutral
absolutistas,neutral
absoluto,neutral
absolutos,neutral
absolvida,neutral
absolvidas,neutral
absolvido,neutral
absolvidos,neutral
absorvente,positive
absorventes,positive
abstémia,positive
abstémias,positive
abstémica,positive
abstémicas,positive
abstémico,positive
abstémicos,positive
abstémio,positive
abstémios,positive
abstencionista,neutral
abstencionistas,neutral
abstinente,neutral
abstinentes,neutral
abstracta,negative
abstractas,negative
abstracto,negative
abstractos,negative
abstraída,negative
abstraídas,negative
abstraído,negative
abstraídos,negative
abstrata,negative
abstratas,negative
abstrato,negative
abstratos,negative
abstrusa,negative
abstrusas,negative
abstrusidade,negative
abstruso,negative
abstrusos,negative
absurda,negative
absurdas,negative
absurdo,negative
absurdos,negative
abulia,negative
abúlica,negative
abúlicas,negative
abúlico,negative
abúlicos,negative
aburguesada,neutral
aburguesadas,neutral
aburguesado,neutral
aburguesados,neutral
abusa,negative
abusá,negative
abusada,negative
abusadas,negative
abusado,negative
abusador,negative
abusadora,negative
abusadoras,negative
abusadores,negative
abusados,negative
abusai,negative
abusais,negative
abusam,negative
abusámo,negative
abusamo,negative
abusámos,negative
abusamos,negative
abusando,negative
abusar,negative
abusará,negative
abusara,negative
abusaram,negative
abusáramo,negative
abusáramos,negative
abusarão,negative
abusarás,negative
abusaras,negative
abusarde,negative
abusardes,negative
abusare,negative
abusarei,negative
abusárei,negative
abusareis,negative
abusáreis,negative
abusarem,negative
abusaremos,negative
abusares,negative
abusaria,negative
abusariam,negative
abusaríamos,negative
abusarias,negative
abusaríeis,negative
abusarmo,negative
abusarmos,negative
abusas,negative
abusasse,negative
abusásseis,negative
abusassem,negative
abusássemos,negative
abusasses,negative
abusaste,negative
abusastes,negative
abusava,negative
abusavam,negative
abusávamo,negative
abusávamos,negative
abusavas,negative
abusávei,negative
abusáveis,negative
abuse,negative
abusei,negative
abuseis,negative
abusem,negative
abusemo,negative
abusemos,negative
abuses,negative
abusiva,negative
abusivas,negative
abusivo,negative
abusivos,negative
abuso,negative
abusou,negative
acabada,negative
acabadas,negative
acabado,negative
acabados,negative
acabadota,negative
acabadotas,negative
acabadote,negative
acabadotes,negative
acabrunhada,negative
acabrunhadas,negative
acabrunhado,negative
acabrunhados,negative
acaciana,negative
acacianas,negative
acaciano,negative
acacianos,negative
acadêmica,neutral
acadêmicas,neutral
acadêmico,neutral
acadêmicos,neutral
acalorada,neutral
acaloradas,neutral
acalorado,neutral
acalorados,neutral
açambarcador,negative
açambarcadora,negative
açambarcadoras,negative
açambarcadores,negative
acanha,negative
acanhá,negative
acanhada,negative
acanhadas,negative
acanhado,negative
acanhados,negative
acanhai,negative
acanhais,negative
acanham,negative
acanhamento,negative
acanhámo,negative
acanhamo,negative
acanhámos,negative
acanhamos,negative
acanhando,negative
acanhar,negative
acanhará,negative
acanhara,negative
acanharam,negative
acanháramo,negative
acanháramos,negative
acanharão,negative
acanharás,negative
acanharas,negative
acanharde,negative
acanhardes,negative
acanhare,negative
acanharei,negative
acanhárei,negative
acanhareis,negative
acanháreis,negative
acanharem,negative
acanharemos,negative
acanhares,negative
acanharia,negative
acanhariam,negative
acanharíamos,negative
acanharias,negative
acanharíeis,negative
acanharmo,negative
acanharmos,negative
acanhas,negative
acanhasse,negative
acanhásseis,negative
acanhassem,negative
acanhássemos,negative
acanhasses,negative
acanhaste,negative
acanhastes,negative
acanhava,negative
acanhavam,negative
acanhávamo,negative
acanhávamos,negative
acanhavas,negative
acanhávei,negative
acanháveis,negative
acanhe,negative
acanhei,negative
acanheis,negative
acanhem,negative
acanhemo,negative
acanhemos,negative
acanhes,negative
acanho,negative
acanhou,negative
acatada,positive
acatadas,positive
acatado,positive
acatador,neutral
acatadora,neutral
acatadoras,neutral
acatadores,neutral
acatados,positive
acautelada,neutral
acauteladas,neutral
acautelado,neutral
acautelados,neutral
acéfala,negative
acéfalas,negative
acéfalo,negative
acéfalos,negative
aceita,neutral
aceitas,neutral
aceitáveis,positive
aceitável,positive
aceite,neutral
aceites,neutral
aceito,neutral
aceitos,neutral
acelerada,neutral
aceleradas,neutral
acelerado,neutral
acelerados,neutral
acentuada,neutral
acentuadas,neutral
acentuado,neutral
acentuados,neutral
acerada,negative
aceradas,negative
acerado,negative
acerados,negative
acerba,negative
acerbas,negative
acerbidade,negative
acerbo,negative
acerbos,negative
acérrima,negative
acérrimas,negative
acérrimo,negative
acérrimos,negative
acertada,positive
acertadas,positive
acertado,positive
acertados,positive
acesa,neutral
acesas,neutral
aceso,neutral
acesos,neutral
acessíveis,positive
acessível,positive
achacada,negative
achacadas,negative
achacado,negative
achacados,negative
achada,neutral
achadas,neutral
achado,neutral
achados,neutral
achatada,negative
achatadas,negative
achatado,negative
achatados,negative
achegada,positive
achegadas,positive
achegado,positive
achegados,positive
achincalha,negative
achincalhá,negative
achincalhado,negative
achincalhai,negative
achincalhais,negative
achincalham,negative
achincalhámo,negative
achincalhamo,negative
achincalhámos,negative
achincalhamos,negative
achincalhando,negative
achincalhar,negative
achincalhará,negative
achincalhara,negative
achincalharam,negative
achincalháramo,negative
achincalháramos,negative
achincalharão,negative
achincalharás,negative
achincalharas,negative
achincalharde,negative
achincalhardes,negative
achincalhare,negative
achincalharei,negative
achincalhárei,negative
achincalhareis,negative
achincalháreis,negative
achincalharem,negative
achincalharemos,negative
achincalhares,negative
achincalharia,negative
achincalhariam,negative
achincalharíamos,negative
achincalharias,negative
achincalharíeis,negative
achincalharmo,negative
achincalharmos,negative
achincalhas,negative
achincalhasse,negative
achincalhásseis,negative
achincalhassem,negative
achincalhássemos,negative
achincalhasses,negative
achincalhaste,negative
achincalhastes,negative
achincalhava,negative
achincalhavam,negative
achincalhávamo,negative
achincalhávamos,negative
achincalhavas,negative
achincalhávei,negative
achincalháveis,negative
achincalhe,negative
achincalhei,negative
achincalheis,negative
achincalhem,negative
achincalhemo,negative
achincalhemos,negative
achincalhes,negative
achincalho,negative
achincalhou,negative
achinesada,neutral
achinesadas,neutral
achinesado,neutral
achinesados,neutral
acidentada,negative
acidentadas,negative
acidentado,negative
acidentados,negative
aciganada,negative
aciganadas,negative
aciganado,negative
aciganados,negative
acintosa,negative
acintosas,negative
acintoso,negative
acintosos,negative
acirrada,negative
acirradas,negative
acirrado,negative
acirrados,negative
aclama,positive
aclamá,positive
aclamada,neutral
aclamadas,neutral
aclamado,positive
aclamados,neutral
aclamai,positive
aclamais,positive
aclamam,positive
aclamámo,positive
aclamamo,positive
aclamámos,positive
aclamamos,positive
aclamando,positive
aclamar,positive
aclamará,positive
aclamara,positive
aclamaram,positive
aclamáramo,positive
aclamáramos,positive
aclamarão,positive
aclamarás,positive
aclamaras,positive
aclamarde,positive
aclamardes,positive
aclamare,positive
aclamarei,positive
aclamárei,positive
aclamareis,positive
aclamáreis,positive
aclamarem,positive
aclamaremos,positive
aclamares,positive
aclamaria,positive
aclamariam,positive
aclamaríamos,positive
aclamarias,positive
aclamaríeis,positive
aclamarmo,positive
aclamarmos,positive
aclamas,positive
aclamasse,positive
aclamásseis,positive
aclamassem,positive
aclamássemos,positive
aclamasses,positive
aclamaste,positive
aclamastes,positive
aclamava,positive
aclamavam,positive
aclamávamo,positive
aclamávamos,positive
aclamavas,positive
aclamávei,positive
aclamáveis,positive
aclame,positive
aclamei,positive
aclameis,positive
aclamem,positive
aclamemo,positive
aclamemos,positive
aclames,positive
aclamo,positive
aclamou,positive
acobarda,negative
acobardá,negative
acobardada,negative
acobardadas,negative
acobardado,negative
acobardados,negative
acobardai,negative
acobardais,negative
acobardam,negative
acobardámo,negative
acobardamo,negative
acobardámos,negative
acobardamos,negative
acobardando,negative
acobardar,negative
acobardará,negative
acobardara,negative
acobardaram,negative
acobardáramo,negative
acobardáramos,negative
acobardarão,negative
acobardarás,negative
acobardaras,negative
acobardarde,negative
acobardardes,negative
acobardare,negative
acobardarei,negative
acobardárei,negative
acobardareis,negative
acobardáreis,negative
acobardarem,negative
acobardaremos,negative
acobardares,negative
acobardaria,negative
acobardariam,negative
acobardaríamos,negative
acobardarias,negative
acobardaríeis,negative
acobardarmo,negative
acobardarmos,negative
acobardas,negative
acobardasse,negative
acobardásseis,negative
acobardassem,negative
acobardássemos,negative
acobardasses,negative
acobardaste,negative
acobardastes,negative
acobardava,negative
acobardavam,negative
acobardávamo,negative
acobardávamos,negative
acobardavas,negative
acobardávei,negative
acobardáveis,negative
acobarde,negative
acobardei,negative
acobardeis,negative
acobardem,negative
acobardemo,negative
acobardemos,negative
acobardes,negative
acobardo,negative
acobardou,negative
acobertada,negative
acobertadas,negative
acobertado,negative
acobertados,negative
acobreada,neutral
acobreadas,neutral
acobreado,neutral
acobreados,neutral
acocada,negative
acocadas,negative
acocado,negative
acocados,negative
acode,positive
acodem,positive
acodes,positive
açoitada,negative
açoitadas,negative
açoitado,negative
açoitados,negative
acolhedor,positive
acolhedora,positive
acolhedoras,positive
acolhedores,positive
acolhida,neutral
acolhidas,neutral
acolhido,neutral
acolhidos,neutral
acomoda,negative
acomodá,negative
acomodadiça,negative
acomodadiças,negative
acomodadiço,negative
acomodadiços,negative
acomodado,negative
acomodai,negative
acomodais,negative
acomodam,negative
acomodámo,negative
acomodamo,negative
acomodámos,negative
acomodamos,negative
acomodando,negative
acomodar,negative
acomodará,negative
acomodara,negative
acomodaram,negative
acomodáramo,negative
acomodáramos,negative
acomodarão,negative
acomodarás,negative
acomodaras,negative
acomodarde,negative
acomodardes,negative
acomodare,negative
acomodarei,negative
acomodárei,negative
acomodareis,negative
acomodáreis,negative
acomodarem,negative
acomodaremos,negative
acomodares,negative
acomodaria,negative
acomodariam,negative
acomodaríamos,negative
acomodarias,negative
acomodaríeis,negative
acomodarmo,negative
acomodarmos,negative
acomodas,negative
acomodasse,negative
acomodásseis,negative
acomodassem,negative
acomodássemos,negative
acomodasses,negative
acomodaste,negative
acomodastes,negative
acomodatícia,neutral
acomodatícias,neutral
acomodatício,neutral
acomodatícios,neutral
acomodava,negative
acomodavam,negative
acomodávamo,negative
acomodávamos,negative
acomodavas,negative
acomodávei,negative
acomodáveis,negative
acomode,negative
acomodei,negative
acomodeis,negative
acomodem,negative
acomodemo,negative
acomodemos,negative
acomodes,negative
acomodo,negative
acomodou,negative
acompanhada,neutral
acompanhadas,neutral
acompanhado,neutral
acompanhador,neutral
acompanhadora,neutral
acompanhadoras,neutral
acompanhadores,neutral
acompanhados,neutral
acompanhante,neutral
acompanhantes,neutral
aconchegada,positive
aconchegadas,positive
aconchegado,positive
aconchegados,positive
acordada,neutral
acordadas,neutral
acordado,neutral
acordados,neutral
acorrenta,negative
acorrentá,negative
acorrentada,negative
acorrentadas,negative
acorrentado,negative
acorrentados,negative
acorrentai,negative
acorrentais,negative
acorrentam,negative
acorrentámo,negative
acorrentamo,negative
acorrentámos,negative
acorrentamos,negative
acorrentando,negative
acorrentar,negative
acorrentará,negative
acorrentara,negative
acorrentaram,negative
acorrentáramo,negative
acorrentáramos,negative
acorrentarão,negative
acorrentarás,negative
acorrentaras,negative
acorrentarde,negative
acorrentardes,negative
acorrentare,negative
acorrentarei,negative
acorrentárei,negative
acorrentareis,negative
acorrentáreis,negative
acorrentarem,negative
acorrentaremos,negative
acorrentares,negative
acorrentaria,negative
acorrentariam,negative
acorrentaríamos,negative
acorrentarias,negative
acorrentaríeis,negative
acorrentarmo,negative
acorrentarmos,negative
acorrentas,negative
acorrentasse,negative
acorrentásseis,negative
acorrentassem,negative
acorrentássemos,negative
acorrentasses,negative
acorrentaste,negative
acorrentastes,negative
acorrentava,negative
acorrentavam,negative
acorrentávamo,negative
acorrentávamos,negative
acorrentavas,negative
acorrentávei,negative
acorrentáveis,negative
acorrente,negative
acorrentei,negative
acorrenteis,negative
acorrentem,negative
acorrentemo,negative
acorrentemos,negative
acorrentes,negative
acorrento,negative
acorrentou,negative
acossa,neutral
acossá,neutral
acossada,negative
acossadas,negative
acossado,negative
acossados,negative
acossai,neutral
acossais,neutral
acossam,neutral
acossámo,neutral
acossamo,neutral
acossámos,neutral
acossamos,neutral
acossando,neutral
acossar,neutral
acossará,neutral
acossara,neutral
acossaram,neutral
acossáramo,neutral
acossáramos,neutral
acossarão,neutral
acossarás,neutral
acossaras,neutral
acossarde,neutral
acossardes,neutral
acossare,neutral
acossarei,neutral
acossárei,neutral
acossareis,neutral
acossáreis,neutral
acossarem,neutral
acossaremos,neutral
acossares,neutral
acossaria,neutral
acossariam,neutral
acossaríamos,neutral
acossarias,neutral
acossaríeis,neutral
acossarmo,neutral
acossarmos,neutral
acossas,neutral
acossasse,neutral
acossásseis,neutral
acossassem,neutral
acossássemos,neutral
acossasses,neutral
acossaste,neutral
acossastes,neutral
acossava,neutral
acossavam,neutral
acossávamo,neutral
acossávamos,neutral
acossavas,neutral
acossávei,neutral
acossáveis,neutral
acosse,neutral
acossei,neutral
acosseis,neutral
acossem,neutral
acossemo,neutral
acossemos,neutral
acosses,neutral
acosso,neutral
acossou,neutral
acostumada,neutral
acostumadas,neutral
acostumado,neutral
acostumados,neutral
acotovela,negative
acotovelá,negative
acotovelado,negative
acotovelai,negative
acotovelais,negative
acotovelam,negative
acotovelámo,negative
acotovelamo,negative
acotovelámos,negative
acotovelamos,negative
acotovelando,negative
acotovelar,negative
acotovelará,negative
acotovelara,negative
acotovelaram,negative
acotoveláramo,negative
acotoveláramos,negative
acotovelarão,negative
acotovelarás,negative
acotovelaras,negative
acotovelarde,negative
acotovelardes,negative
acotovelare,negative
acotovelarei,negative
acotovelárei,negative
acotovelareis,negative
acotoveláreis,negative
acotovelarem,negative
acotovelaremos,negative
acotovelares,negative
acotovelaria,negative
acotovelariam,negative
acotovelaríamos,negative
acotovelarias,negative
acotovelaríeis,negative
acotovelarmo,negative
acotovelarmos,negative
acotovelas,negative
acotovelasse,negative
acotovelásseis,negative
acotovelassem,negative
acotovelássemos,negative
acotovelasses,negative
acotovelaste,negative
acotovelastes,negative
acotovelava,negative
acotovelavam,negative
acotovelávamo,negative
acotovelávamos,negative
acotovelavas,negative
acotovelávei,negative
acotoveláveis,negative
acotovele,negative
acotovelei,negative
acotoveleis,negative
acotovelem,negative
acotovelemo,negative
acotovelemos,negative
acotoveles,negative
acotovelo,negative
acotovelou,negative
açougueira,negative
açougueiras,negative
açougueiro,negative
açougueiros,negative
acre,negative
acredita,positive
acreditá,positive
acreditada,positive
acreditadas,positive
acreditado,positive
acreditados,positive
acreditai,positive
acreditais,positive
acreditam,positive
acreditámo,positive
acreditamo,positive
acreditámos,positive
acreditamos,positive
acreditando,positive
acreditar,positive
acreditará,positive
acreditara,positive
acreditaram,positive
acreditáramo,positive
acreditáramos,positive
acreditarão,positive
acreditarás,positive
acreditaras,positive
acreditarde,positive
acreditardes,positive
acreditare,positive
acreditarei,positive
acreditárei,positive
acreditareis,positive
acreditáreis,positive
acreditarem,positive
acreditaremos,positive
acreditares,positive
acreditaria,positive
acreditariam,positive
acreditaríamos,positive
acreditarias,positive
acreditaríeis,positive
acreditarmo,positive
acreditarmos,positive
acreditas,positive
acreditasse,positive
acreditásseis,positive
acreditassem,positive
acreditássemos,positive
acreditasses,positive
acreditaste,positive
acreditastes,positive
acreditava,positive
acreditavam,positive
acreditávamo,positive
acreditávamos,positive
acreditavas,positive
acreditávei,positive
acreditáveis,positive
acredite,positive
acreditei,positive
acrediteis,positive
acreditem,positive
acreditemo,positive
acreditemos,positive
acredites,positive
acredito,positive
acreditou,positive
acres,negative
acriançada,negative
acriançadas,negative
acriançado,negative
acriançados,negative
acrisolada,neutral
acrisoladas,neutral
acrisolado,neutral
acrisolados,neutral
acrítica,negative
acríticas,negative
acrítico,negative
acríticos,negative
activa,positive
activas,positive
activo,positive
activos,positive
actualista,neutral
actualistas,neutral
acuda,positive
acudais,positive
acudam,positive
acudamo,positive
acudamos,positive
acudas,positive
acudi,positive
acudia,positive
acudiam,positive
acudíamo,positive
acudíamos,positive
acudias,positive
acudido,positive
acudíei,positive
acudíeis,positive
acudimo,positive
acudimos,positive
acudindo,positive
acudir,positive
acudirá,positive
acudira,positive
acudiram,positive
acudíramo,positive
acudíramos,positive
acudirão,positive
acudirás,positive
acudiras,positive
acudirde,positive
acudirdes,positive
acudire,positive
acudirei,positive
acudírei,positive
acudireis,positive
acudíreis,positive
acudirem,positive
acudiremos,positive
acudires,positive
acudiria,positive
acudiriam,positive
acudiríamos,positive
acudirias,positive
acudiríeis,positive
acudirmo,positive
acudirmos,positive
acudis,positive
acudisse,positive
acudísseis,positive
acudissem,positive
acudíssemos,positive
acudisses,positive
acudiste,positive
acudistes,positive
acudiu,positive
acudo,positive
aculturada,negative
aculturadas,negative
aculturado,negative
aculturados,negative
acurada,positive
acuradas,positive
acurado,positive
acurados,positive
acusa,negative
acusá,negative
acusada,negative
acusadas,negative
acusado,negative
acusados,negative
acusai,negative
acusais,negative
acusam,negative
acusámo,negative
acusamo,negative
acusámos,negative
acusamos,negative
acusando,negative
acusar,negative
acusará,negative
acusara,negative
acusaram,negative
acusáramo,negative
acusáramos,negative
acusarão,negative
acusarás,negative
acusaras,negative
acusarde,negative
acusardes,negative
acusare,negative
acusarei,negative
acusárei,negative
acusareis,negative
acusáreis,negative
acusarem,negative
acusaremos,negative
acusares,negative
acusaria,negative
acusariam,negative
acusaríamos,negative
acusarias,negative
acusaríeis,negative
acusarmo,negative
acusarmos,negative
acusas,negative
acusasse,negative
acusásseis,negative
acusassem,negative
acusássemos,negative
acusasses,negative
acusaste,negative
acusastes,negative
acusava,negative
acusavam,negative
acusávamo,negative
acusávamos,negative
acusavas,negative
acusávei,negative
acusáveis,negative
acuse,negative
acusei,negative
acuseis,negative
acusem,negative
acusemo,negative
acusemos,negative
acuses,negative
acuso,negative
acusou,negative
acutilante,negative
acutilantes,negative
acutíssima,neutral
acutíssimas,neutral
acutíssimo,neutral
acutíssimos,neutral
adâmica,negative
adâmicas,negative
adâmico,negative
adâmicos,negative
adaptada,neutral
adaptadas,neutral
adaptado,neutral
adaptados,neutral
adepta,positive
adeptas,positive
adepto,positive
adeptos,positive
adequada,positive
adequadas,positive
adequado,positive
adequados,positive
adestrada,positive
adestradas,positive
adestrado,positive
adestrados,positive
adicionais,neutral
adicional,neutral
adiposa,negative
adiposas,negative
adiposo,negative
adiposos,negative
adjacente,neutral
adjacentes,neutral
administrada,neutral
administradas,neutral
administrado,neutral
administrados,neutral
admira,positive
admirá,positive
admirado,positive
admirai,positive
admirais,positive
admiram,positive
admirámo,positive
admiramo,positive
admirámos,positive
admiramos,positive
admirando,positive
admirar,positive
admirará,positive
admirara,positive
admiraram,positive
admiráramo,positive
